# 公共DNS服务器列表
114.114.114.114       # 114DNS
223.5.5.5             # 阿里DNS
180.76.76.76          # 百度DNS
119.29.29.29          # 腾讯DNSPod
1.1.1.1               # Cloudflare
8.8.8.8               # Google DNS
9.9.9.9               # IBM Quad9
208.67.222.222        # OpenDNS
101.226.4.6           # 360安全DNS（电信）
123.125.81.6          # 360安全DNS（联通）
1.2.4.8  # CNNIC
210.2.4.8 # CNNIC
94.140.14.140  # AdGuard DNS
94.140.14.141  # AdGuard DNS
185.228.168.9  # CleanBrowsing  
185.228.169.9  # CleanBrowsing
8.26.56.26  # Comodo Secure DNS
8.20.247.20  # Comodo Secure DNS
185.222.222.222  # DNS.SB
45.11.45.11  # DNS.SB
216.146.35.35  # Dyn DNS
216.146.36.36  # Dyn DNS
80.80.80.80  # Freenom World
80.80.81.81  # Freenom World
https://dns.nextdns.io  # nextdns
